cpu_bench_id,cpu_name,passmark,core,thread,tdp,rated_clock,max_clock,list_price,cost_performance,created_at,updated_at
240,A8-7600,3194,4,4,65,3.1,3.8,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
241,A10-7860K,3183,4,4,65,3.6,4,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
242,Celeron J4125,3175,4,4,10,2,2.7,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
243,A10-7700K,3171,4,4,95,3.4,3.8,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
244,Pentium Silver J5005,3165,4,4,10,1.5,2.8,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
245,Phenom II X6 1055T,3153,6,6,125,2.8,3.3,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
246,A10-6700,3114,4,4,65,3.7,4.3,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
247,Core i3 4160T,3086,2,4,35,3.1,0,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
248,Core i7 870,3080,4,8,95,2.93,3.6,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
249,Core i7 950,3031,4,8,130,3.07,3.33,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
250,Core i7 875K,2985,4,8,95,2.93,3.6,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
251,A10 PRO-7800B,2983,4,4,65,3.5,3.9,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
252,FX-4300,2978,4,4,95,3.8,4,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
253,A10-7800,2970,4,4,65,3.5,3.9,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
254,Pentium G4520,2960,2,2,51,3.6,0,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
255,Core i7 930,2960,4,8,130,2.8,3.06,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
256,A10-5800K,2931,4,4,100,3.8,4.2,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
257,Core i7 860,2928,4,8,95,2.8,3.46,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
258,A8-7650K,2915,4,4,65,3.3,3.7,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
259,Pentium G4500,2855,2,2,51,3.5,0,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
260,Celeron G5905,2825,2,2,58,3.5,0,5000,0.56,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
261,Celeron G5900,2759,2,2,58,3.4,0,4200,0.66,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
262,Core i7 860S,2734,4,8,82,2.5,3.46,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
263,Celeron J4115,2727,4,4,10,1.8,2.5,0,0,2021-11-12 12:14:00+09,2021-11-12 12:14:00+09
